card_description_id,card_id,subject_id,card_subject_description
124,25,4,"3 of Cups cũng là một điềm tốt xét trên khía cạnh công việc. Tiền có thể đến với bạn, bạn có thể tìm được một công việc mới và/hoặc được lên chức. Tâm trạng trong thế giới công việc của bạn nói chung tương đối dễ chịu. Nếu bạn đang tìm kiếm công việc, thì bạn sẽ có khá nhiều khả năng thành công (có lẽ khả năng này cao đến mức đáng ngạc nhiên đấy), mọi thứ sẽ diễn ra tốt đẹp với bạn. Do đó, đừng bỏ cuộc nhé."
125,25,5,"Có thể việc tiếp cận với người khác trong lúc này là một việc làm quan trọng, đặc biệt là nếu bạn thường dành sự chú ý đối với đời sống tâm linh tinh thần của mình trong sự cô tịch. Việc tiếp cận này có thể dẫn đến một sự thức tỉnh tâm linh. Hãy suy nghĩ về việc bạn có hay không có nhu cầu về một người “thầy tinh thần” (bằng xương bằng thịt) và nếu bạn có, hãy tìm kiếm một người như vậy! Đây có thể là bất kỳ người cố vấn đáng tin cậy nào, không nhất thiết phải là một người mang danh một “lãnh đạo tinh thần”."
126,26,1,"Tập trung vào điều tích cực. Nếu có vấn đề về thể chất, hãy nhớ rằng mọi thứ không phải lúc nào cũng giống như lúc này, nên giữ sức khoẻ một cách sáng suốt. Chú ý đến chế độ ăn uống, tập thể dục, và dành thời gian nghỉ ngơi / ăn uống lành mạnh. Bạn có thể cần phải trao đổi với một cố vấn hay bác sỹ đáng tin cậy hoặc bạn bè để có được sự hỗ trợ trong quá trình cải thiện tình trạng thể chất của bạn tại thời điểm này."
127,26,2,"Tập trung vào điểm mạnh của mình, về những gì bạn có và có thể làm, không phải những gì bạn không thể làm và không có. Nếu bạn không biết vấn đề tài chính của mình sẽ đi đến đâu, hãy thiết lập các mục tiêu và kế hoạch cụ thể về tài chính của mình, và sau đó vạch ra các bước sẽ giúp bạn đạt được những mục tiêu và kế hoạch đó. Hãy xem xét tình hình tài chính của bạn một cách thực tế (biết chính xác vấn đề tài chính của bạn đang ở đâu) vì chỉ như thế mới có thể giúp bạn kiểm soát được tài chính của mình."
128,26,3,Suy nghĩ một cách nghiêm túc về việc bạn có đang thực tế với những chuyện liên quan đến tình cảm hay không. Liệu trái tim của bạn đang loại trừ tất cả mọi người khác đến với bạn hay không? Ai là người không thật sự trao cho bạn nhiều tình cảm hoặc gần như lúc nào cũng vắng mặt mỗi khi bạn cần?
129,26,4,"Bạn có thể không thích công việc của bạn lắm, nhưng ít nhất nó đem lại cho bạn miếng ăn. Hãy nhớ rằng chúng ta không ai thực sự hoàn toàn bị bế tắc cả."
130,26,5,"Những mơ tưởng có thể gây hại đến các khía cạnh tinh thần của cuộc sống, như khi chúng ta bị cuốn vào lối tư duy tự ti “tôi yếu kém” hay “tôi ước gì mọi thứ sẽ khác “, nó có xu hướng khiến chúng ta mù lòa không nhìn thấy được vẻ đẹp của những Thực Tại trong cuộc sống chúng ta, ngay bây giờ. Hãy vững tin và bám sát vào thực tại. Nếu bạn không thể viết một “nhật ký lòng biết ơn” và viết ra những điều bạn cảm thấy biết ơn mỗi ngày, thì ít nhất hãy làm một danh sách hai mươi người / tình huống / những thứ trong cuộc sống của bạn mà bạn cảm thấy là những điều tốt đẹp khiến bạn biết ơn vào lúc này. Suy ngẫm cùng những dòng nhật ký này có thể giúp nâng cao “nhận thức tinh thần” của bạn vô cùng nhanh chóng."
131,27,1,"Điều tối quan trọng là bạn phải luôn giữ được một thái độ tích cực. Nếu bạn chỉ không thể vượt qua những ký ức về những điều xấu kẻ khác làm với bạn, hay bỏ qua những gì đã xảy ra trong quá khứ của mình, vậy thì bây giờ là thời điểm để tìm kiếm sự giúp đỡ trong việc giải quyết những vấn đề đó trước khi bạn gây ra những điều không hay cho chính bản thân mình mình bằng cách giam mình trong quá khứ tối tăm. Quá khứ đã qua đi rồi. Hãy tập trung vào hiện tại và tương lai nhé."
132,27,2,"Việc lo lắng quá nhiều về tiền bạc thực sự có thể gây tác dụng ngược lại với những gì bạn đang cố gắng đạt được, và việc lo lắng này có thể ảnh hưởng đến sự thịnh vượng về mặt tài chính của bạn. Để giải quyết mối lo nghĩ này, có một cách là hãy cho phép bản thân mình rộng lượng hơn. Có thể bạn không “tệ hại” như những gì bạn nghĩ đâu. Hãy thử cho đi một cái gì đó đi, hay quyên góp một khoản nho nhỏ cho một nơi nào đó mà bạn tin tưởng."
133,27,3,"Một mối quan hệ liên quan đến tình yêu của bạn có thể vừa kết thúc hoặc có thể là sắp bước vào giai đoạn kết thúc. Bạn cần phải nhận ra rằng “bạn không mất tất cả.” Bạn có lẽ chưa sẵn sàng để bắt đầu một mối quan hệ mới đâu, nên hãy trao cho mình nhiều thời gian và không gian hơn hiện tại… rồi mới trở lại với cuộc sống yêu đương. Sẽ có một ngày khi bạn nhận ra rằng lý do mối quan hệ hiện tạu vừa hay sắp kết thúc chính là để giúp bạn đạt được điều mà bạn “thực sự muốn được”,  tức là tìm thấy và nắm giữ được một mối quan hệ khác thực sự phù hợp với mình, và tiến triển tốt."
134,27,4,"Nếu bạn đang trong giai đoạn tìm việc làm khi lá bài này xuất hiện trong lượt trải bài, thì hãy cố gắng đừng quá nôn nóng nếu cơ hội đến chậm. Hãy nhớ rằng nhà tuyển dụng thường khá chậm chạp trong các vấn đề như xử lý đơn từ, sơ yếu lý lịch hay tương tự vậy. Hãy chủ động nhưng đừng quá nôn nóng. Khi lá này sẽ xuất hiện (và xuất hiện trong lượt trải về câu hỏi công việc…) thì đó có thể là dấu chĩ cho thấy nhiều khả năng đang thực sự chọn sai công việc rồi. Hãy nhìn nhận xem xét những gì bạn muốn làm, và thực hiện các bước theo hướng làm cho điều đó xảy ra."
135,27,5,"Đây là lúc quan trọng cần sự xuất hiện của sự tha thứ. Bạn không tha thứ cho người khác vì lợi ích của họ, hay bởi vì họ “xứng đáng” được tha thứ, mà bạn cần thiết phải làm điều đó vì lợi ích của riêng bạn, lý do là vì việc dồn nén sự tức giận và nỗi đau trong lòng là điều vô cùng tai hại và tồi tệ cho bản thân. Không chỉ vậy, trong khi bạn vẫn còn mất thời gian giận dữ và đau đớn, người mà bạn tức giận rất có thể đang có được tâm trạng khá tốt đấy! Vì vậy, bây giờ là thời gian để buông xả đi những điều còn lấn cấn trong tâm hồn."
136,28,1,"Nếu bạn đang gặp vấn đề liên quan đến sức khỏe, vậy thì sự xuất hiện của lá này có thể có nghĩa là bạn cần phải thực sự hồi tưởng trở lại thời thơ ấu để kiểm tra tận nơi gốc rễ nguyên nhân của vấn đề thể chất mà mình đang gặp phải. (Gợi ý: Yếu tố tình cảm rất thường gắn liền với thể chất). Cách điều trị bằng phương pháp trò chuyện có thể sẽ rất hữu ích. Bạn cần xem xét sắp xếp nói chuyện với các thành viên trong gia đình về các vấn đề thể chất mà họ từng hoặc đang gặp phải, và chắc chắn rằng bạn hiểu rõ ràng về tình hình bệnh sử của gia đình mình."
137,28,2,"Nếu bạn đang tìm kiếm phương cách đầu tư tiền bạc, hoặc kiếm thêm một ít tiền, thì hãy đặc biệt chú ý đến những thứ mang tính cổ điển hay hoài cổ, hoặc những lựa chọn đầu tư có ý nghĩa hấp dẫn đối với trẻ em. Tiền có thể đến với bạn từ một người nào đó từ quá khứ của bạn hoặc thông qua thừa kế (nhưng điều này tất nhiên không có nghĩa là chắc chắn một người nào đó gần gũi với bạn sẽ qua đời)."
138,28,3,"Nếu bạn đang có một mối quan hệ tình yêu lãng mạn, thì sự xuất hiện của lá bài này có thể chỉ ra rằng một mối quan hệ này cần phải được “tái tập trung” định hướng tới tương lai. Hãy nói về mục tiêu và ước mơ của các bạn. Hãy khám phá và thử nghiệm những điều mới mở. Điều quan trọng là đừng để bản thân mình bị mắc kẹt trong quá khứ ở thời điểm hiện tại. Đôi lúc lá này sẽ hàm ý về việc tái xuất hiện của một người yêu cũ trong cuộc sống của bạn. Hãy suy nghĩ thật kỹ trước khi tái bắt đầu một mối tình cũ nào đó. Cần nhớ lại lý do anh ấy/cô ấy trở thành “người cũ” của bạn."
139,28,4,"Đây là thời điểm rất tốt cho công việc có liên quan đến sự sáng tạo. Nếu công việc của bạn không mang tính ứng dụng sáng tạo, vậy thì hãy đảm bảo rằng bạn sẽ dành một chút thời gian cá nhân cho việc vẽ tranh, hay viết lách, tạo album ảnh kỷ niệm… nói chung là bất cứ sở thích nào đó thiên về tính sáng tạo. Bạn sẽ nhận thấy công việc bình thường hàng ngày của bạn sẽ gặt hái được nhiều kết quả khả quan hơn đấy."
140,28,5,"Bất cứ loại nghi lễ nào cũng đều có thể hữu ích cho bạn xét trên khía cạnh tinh thần tại thời điểm hiện tại. Bạn có thể tìm thấy vẻ đẹp và ý nghĩa trong việc tái hiện lại một số các nghi lễ thiêng liêng mà bạn biết đến khi còn là một đứa trẻ; điều này không có nghĩa là bạn phải quay trở lại thực hiện những nghi thức truyền thống tâm linh đầu tiên từng trải qua và làm theo chúng một cách rập khuôn; thay vào đó, hãy cập nhật và cải tiến, thay đổi các nghi lễ truyền thống cũ. Điều đó sẽ đem lại nhiều lợi ích cho bạn sau này."
141,29,1,"Bất cứ triệu chứng nào đó liên quan đến sức khỏe mà bạn đang gặp phải có thể có một phần nguyên nhân là do thiếu sự tinh tế và nhạy cảm về bản thân, nhưng đương nhiên việc tham vấn ý kiến của bác sỹ cũng là điều cần thiết. Hãy ghi lại những triệu chứng mà bạn gặp kèm theo những suy nghĩ của bản thân về chúng. Tập thể dục sẽ giúp bạn tăng cường cảm giác nhạy cảm về bản thân hơn."
142,29,2,"Đây không phải là thời điểm tốt để đầu tư tài chính. Nhưng nếu bắt buộc phải tham gia đầu tư thì bạn cần tham khảo ý kiến chuyên môn tập luyện dần dần trước. Việc kinh doanh của bạn có thể đang quá phân tán (điều này đặc biệt đúng nếu bạn đang tự kinh doanh riêng). Để có lợi nhuận tối đa, hãy tập trung hơn."
143,29,3,"Có thể bạn đang nắm được nhiều lựa chọn tình cảm trong tay. Nhưng hãy rõ ràng và cụ thể về những gì bạn muốn trong một mối quan hệ, hãy đánh giá các lựa chọn đó một cách thấu đáo và kỹ lưỡng, hãy thành thật với tất cả những người liên quan (bao gồm cả bản thân bạn), rồi sau đó mới tiến tới. Hãy nhớ rằng việc yêu đương chớp nhoáng chỉ xảy ra ở giai đoạn đầu của một mối quan hệ mà thôi. Không có mối quan hệ nào có thể tồn tại cảm giác “chớp nhoáng” đó mãi được. Những mối quan hệ tốt kể cả mối quan hệ về mặt tinh thần đều sẽ tiến đến giai đoạn trầm lắng và ít hấp tấp hơn vào một lúc nào đó. Tuy vậy điều này không có nghĩa là bạn sẽ cảm thấy nhàm chán với tình yêu của mình đâu."
144,29,4,"Nếu bạn đang có một cơ hội hay thảo thuận kinh doanh nào đó mà bạn cảm thấy có vẻ như quá tốt thì rất có thể nó đúng là quá tốt đến mức khó có thể có thật. Hãy xem xem bạn đang đầu tư tiền bạc và niềm tin vào đâu. Nếu bạn đang làm việc hay muốn làm việc trong một môi trường sáng tạo hay tương tự vậy thì sự xuất hiện của lá bài này là dấu hiệu tốt cho thấy sự tiến triển tốt, nhưng nếu công việc hay lĩnh vực công việc bạn đang tham gia thiên về sự chính xác, tính toán, hay mang thiên hướng kinh doanh thì lá bài này lại là lời cảnh báo rằng bạn đang đầu tư quá nhiều thời gian cho tâm trí mình chìm ngập trong những vấn đề trên mây, và bạn sẽ cần phải tỉnh táo, tập trung lại đấy."
145,29,5,"Hãy hình tượng hóa trong tâm trí bạn các mục tiêu quan trọng và những mong muốn mà bạn đã được đáp ứng. Hãy sử dụng những câu tuyên ngôn mang tính tích cực (như “Tôi tự tin, “Tôi sẽ làm được”…) để giúp bạn biến những ước mơ của mình thành hiện thực. Hãy giữ thái độ tích cực. Nếu bạn cần giúp đỡ, hãy đề nghị. Có nhiều mối ảnh hưởng mang tính tích cực xung quanh bạn, chỉ cần biết nên tìm thấy chúng ở đâu mà thôi."
146,30,1,"Sự căng thẳng có thể xảy ra và khiến bạn gặp nhiều vấn đề về sức khỏe. Hãy chắc chắn rằng bạn đang chú ý đầy đủ đến chế độ ăn uống, tập thể dục, và ngủ đủ giấc. Hãy giữ một thái độ tích cực và lạc quan."
147,30,2,"Nếu bạn đang thật sự cảm thấymệt mỏivới cuộc sống và công việc hiện tại, vậy thì đừng để cho cái cảm giác an toàn khi được nhận lương hàng tháng trói buộc bạn với công việc đó.Nhưng bạn cũng cần phảisuy xét kỹ trước khi ngưng việc. Bảo hiểm sức Khỏe, đặc biệt là tại Hoa Kỳ, là điều đáng để cân nhắc đấy (nếu bạn đi làm thì dĩ nhiên công ty của bạn sẽ chi trả khoản này cho bạn). Tuy nhiên, với một tầm nhìn xa và kế hoạch rõ ràng, cũng nhưviệc chú ý đến từng chi tiết, nếu bạn đang muốn làm việc cho chính mình thì bạn thật sự có thể làm được. Chỉ cần chắc chắn rằng kế hoạch của bạn được sắp đặt tốt và được chuẩn bị một cách toàn diện. Tiền không phải là tất cả mọi thứ."
148,30,3,"Bạn có thể nhận thấy rằng một mối quan hệ lâu dài sẽ đến hồi kết thúc. Nếu bạn chắc chắn về điều này, đừng chờ đợi thời điểm nào là đúng đắn để nói ra điều đó, bởi vì sẽ không bao giờ có “thời điểm tốt” để nói với ai đó rằng mối quan hệ giữa bạn và người ấy cần phải kết thúc. Đừngnhảy ngay vào một mối quan hệ mới; trước hết hãy cho mình một khoảng thời gian và không gian để đánh giá mọi việc lại đã."
149,30,4,"Công việc hiện tại của bạn có thể không còn thích hợp cho bạn nữa. Bạn có thể cảm thấy buồn chán, hoặc nhận thấy những nỗ lực của mình không được đánh giá đúng. Hãy suy nghĩ thật kỹ lưỡng về điều gì là tốt nhất và phù hợp nhất cho bạn; hãy cố gắng giải quyết tình cảnh hiện tại của bản thân;còn nếu không được, hãy ra đi. Lựa chọn nào cũng sẽ hữu ích cho bạn. Dù vậy, một điều chắc chắn là mọi thứ sẽ không tự thay đổi theo chiều hướng tốt đẹp hơn. Vì vậy nếu bạn thật sự cảmthấy không hài lòng, hãy suy nghĩ chi tiết về những thay đổi cụ thể sẽ cần phải xảy ra để giúp bạn hạnh phúc hơn trong công việc. Còn nếu thật sự bạn cảm thấy ít có khả năng hoặc không thể thay đổi những điều đó, vậy thì hãy tìm kiếm cho mình một vị trí, một công việc mới. Bạn hoàn toàn có thể làm được điều đó."
150,30,5,"Bạn có thể cần một chút thời gian riêng tư. Hãy đón nhận khoảng thời gian đó. Bạn sẽ nhìn thấuđược nội tâmvà tìm được sự khôn ngoan trong không gian tĩnh lặng đó, và lắng nghe tiếng nói êm dịu nhỏ nhẹ từ tâm khảm."
151,31,1,"Nói chung, đây có thể sẽ là thời điểm mà tình hình sức khỏe của bạn rất thoải mái. Nếu gần đây bạn đã phải thực hiện một xét nghiệm nào đó thì kết quả xét nghiệm rất có thể thuận theo ý muốn của bạn. Hãy sử dụng nguồn năng lượng tốt của lá bài này để củng cố hoặc cải thiện các thói quen của bạn, thêm vào đó hoặc tăng cường thêm các bài tập thể dục hoặc làm giàu kiến thức về dinh dưỡng cho bản thân."
152,31,2,"Vì 9 of Cups là một lá bài mang ý nghĩa tích cực vô cùng mạnh mẽ, nó cũng mang hàm ý tốt về tình hình tài chính của bạn. Khi lá này xuất hiện, nó có thể hàm ý rằng tình hình tài chính bạn đang hình dung sẽ có thể xảy ra, mặc dù có lẽ không hoàn toàn chính xác theo cách mà bạn muốn cho lắm."
153,31,3,"Lá này là một dấu chỉ rất tốt cho cuộc sống tình yêu của bạn. Nếu bạn đang trong một mối quan hệ tình cảm, thì mối quan hệ đó nhiều khả năng sẽ trở nên sâu sắc hơn, tốt hơn và ngọt ngào hơn. Nếu bạn còn độc thân thì đây là thời điểm tuyệt vời để gặp gỡ mọi người. Hãy bước ra ngoài, hòa nhập, trò chuyện với những người mà bạn gặp được mà không cần phải kỳ vọng vào bất kỳ kết quả tiềm năng nào cả . Mục đích ở đây chỉ là để giải stress mà thôi."
154,31,4,"Bạn có thể sẽ gặp được vô số may mắn không ngờ đến. Nếu bạn có một giấc mơ lớn hoặc đang thực hiện một dự án nào đó vốn đang bị đình trệ, vậy thì trong tháng này tiến độ thực hiện có thể sẽ tiến triển đến hồi kết thúc. Nếu bạn được mời phỏng vấn vào một vị trí nào đó, thì lá bài này có thể hàm ý rằng rốt cuộc thì thời điểm mà bạn thật sự mong đợi sẽ đến."
155,31,5,"Đây là thời điểm quan trọng để nhìn nhận và cải thiện việc ứng dụng những câu tuyên ngôn tích cực (như “Tôi thấy tự tin” hay “Tôi chắc chắn mình sẽ làm được”…), những suy nghĩ hình dung vào cuộc sống bạn và cách thức chúng có thể làm phong phú thêm cuộc sống của bạn trên mọi lĩnh vực. Hãy tin tưởng chính mình. Hãy ước mơ lớn, rồi thực hiện những gì cần thiết để làm cho chúng trở thành sự thật."
156,32,1,"Sức khỏe của bạn nhiều khả năng sẽ tốt lên đáng kể, nếu như hiện tại bạn đang có bệnh hay vấn đề nào đó liên quan đến sức khỏe.; còn nếu sức khỏe bạn hiện đang ổn thì lá bài này hàm ý tình trạng đó vẫn sẽ được duy trì trong thời gian tới. Bạn cũng có thể suy nghĩ sâu xa hơn khi là bài này xuất hiện, như xem xét những việc làm trong khả năng có thể giúp tiếp tục cải thiện sức khỏe, như ăn uống đủ dinh dưỡng, tập thể dục thể thao, cũng như đánh giá các nguyên nhân có thể gây tổn hại sức khỏe bản thân mà bạn không kiểm soát được (ví dụ như một căn bệnh di truyền trong gia đình). Hãy cứ thoải mái tinh thần nếu như bạn đang rơi vào trường hợp sau vì có lo nghĩ cũng không ích lợi gì, điều đó nằm ngoài tầm kiểm soát của bạn mà."
157,32,2,"Tiền bạc có thể không phải là vấn đề (hay ít nhất không phải là vấn đề quá to tát) đối với bạn khi bạn nhận được lá bài này trong một câu hỏi về tài chính. Ten of Cups hàm ý đây là giai đoạn phát đạt của bạn. Chỉ cần nhớ là phải để tiền phục vụ bạn hiệu quả xứng đáng với công sức bạn đã bỏ ra. Hãy chia sẽ gia tài của mình đến mức độ mà bạn cảm thấy có thể và thấy thoải mái khi làm vậy, dù là thoải mái ở bất cứ khía cạnh nào. Chúng ta sống cùng nhau cuộc đời này mà."
158,32,3,"Nếu bạn đang lo lắng về một mối quan hệ tình cảm và rút được lá bài này trong lượt trải bài, vậy thì đây là dấu hiệu tốt rằng bạn thật sự không cần lo lắng gì đâu. Bạn và người yêu bạn đều đang cùng nhìn về một phía. Nếu bạn đang trong một mối quan hệ nhưng vẫn chưa hứa hẹn chính thức về tương lai, và đang mong chờ điều đó xuất hiện; vậy thì hãy chuẩn bị đi vì ngày đó gần đến rồi đấy. Đừng phá hỏng mọi thứ bằng cách gây chuyện khi mà chẳng có điều gì phải lo lắng."
159,32,4,"10 of Cups cho thấy bạn đã đạt đến vị trí không thể thay thế ở công việc hiện tại. Đây là một điều tốt, nhưng đừng quá phấn khích, hầu như chẳng ai có thể thay thế cả! Có vẻ như bạn đang đi đúng hướng đấy, chỉ cần nhớ đừng có thỏa mãn và mất tập trung thôi. Hãy luôn làm việc tốt."
160,32,5,"Hãy sống cho hiện tại, quan tâm đến ngày hôm nay. Bạn sẽ có tất cả nếu phát huy nguồn năng lượng tốt cũng như duy trì một thái độ tích cực. Điều quan trọng là hãy chia sẽ những thái độ đó cho mọi người quanh bạn, nhất là những ai đang tuyệt vọng và cần một nguồn năng lượng tích cực."
161,33,1,"Hãy lắng nghe cơ thể bạn với sự quan tâm sâu sắc. Nó đang cho bạn biết điều gì? Ví dụ, nếu bạn đang bị đau lưng, liệu có phải bạn đang mang vác (theo nghĩa đen hoặc nghĩa bóng) quá nặng?"
162,33,2,"Nếu tài chính của bạn đang phải chắt bóp vì những quyết định bởi một ai đó khác, thì sự xuất hiện của lá bài này nói rằng thời điểm đang gần kề. Vấn đề tài chính của bạn có thể xoay chuyển theo hướng tốt hơn. Nếu bạn đang tính mua sắm một hay vài thứ mắc tiền, đừng suy nghĩ tằn tiện quá!"
163,33,3,"Một người trẻ tuổi hơn (có thể là chỉtrẻ hơn bạn vài ngày) có thể là một phần trong viễn cảnh tình yêu của bạn. Hãy nhớ rằng tình yêu không phân biệt tuổi tác, cho nên đừng xem nhẹ bất cứ ai dù người đó có trẻ hơn bạn! Lá bài này trong ngữ cảnh tình yêu có thể như thế này: ai đó đang muốn nhanh chóng gây ấn tượng với bạn. Hãy cho họ một cơ hội."
164,33,4,"Ngay cả khi mọi thứ đã luôn tồi tệ với công việc mà bạn đã gắn bó trong 10 năm qua, thì sự xuất hiện của lá bài này cho thấy rằng bạn vẫn có lý do để hy vọng và mong đợi một tương lai tích cực. Cho dù bạn là ai, bạn đều có nhiều lựa chọn nghề nghiệp. Cuộc sống có thể thay đổi nhanh chóng, và nhiều khi những thay đổi đó theo hướng tích cực. Nếu bạn không hài lòng với công việc hiện tại, hãy biết rằng mình vẫn đang nắm giữ chìa khóa để thay đổi nó."
165,33,5,Bạn có thể cần xem xét lại những nghi thức tâm linh của mình nếu những truyền thống của bạn đang dần mất hiệu lực. Điều này có thể hữu ích để cho phép bản thân có thời gian và không gian cân nhắc nơi nào bạn có thể theo đuổi các thông tin tinh thần lôi cuốn bạn. Hãy khám phá. Hãy đọc những thứ về tinh thần từ những hệ thống niềm tin / văn hóa khác thay vì của chính bạn.
166,34,1,"Nếu bạn đang chờ đợi kết quả xét nghiệm về sức khỏe và rút được lá bài này, hãy thư giãn và yên tâm rằng tin tức sắp tới sẽ rất khả quan. Nhìn chung về khía cạnh sức khỏe của bạn, lá Knight này có nghĩa rằng bạn sẽ sớm cảm thấy tốt hơn / thậm chí là khỏe mạnh hơn."
167,34,2,"Lá bài này có thể chỉ rằng bạn sẽ sớm nhận được tin tức tốt lành về vấn đề tài chính của bạn. Knight thường hàm ý những thông điệp đầy niềm vui và tích cực. Nếu bạn thắc mắc về vấn đề tài chính và rút được lá này trong trải bài, và nếu không có lá nào khác trong cùng lượt trải mang thông điệp gì khác cụ thể cho vấn đề tài chính của bạn, vậy thìtrường hợp này hầu như chắc chắn không xấu như bạn nghĩ."
168,34,3,"Đây là một lá bài cực kỳ tích cực khi xuất hiện trong lượt hỏi về tình yêu. Nếu bạn đang còn độc thân hay chưa có mối quan hệ tình cảm với ai, thì lá bài này thường hàm ý rằng một ai đó sắp gây được ấn tượng với bạn đấy. Còn nếu bạn đang trong một mối quan hệ, lá Knight này có thể hàm ý đến một lời cầu hôn / cuộc hôn nhân. Ít nhất là trong bối cảnh câu hỏi vềtình yêu, lá bài này sẽ luôn mang những thông điệp tích cực, những điều mà bạn sẽ thích nghe. Hãy mở lòng khám phá những giảm giác của mình."
169,34,4,Các dự án công việc gần như sẽ diễn ra theo hướng tích cực và sớm hơn bạn mong đợi khi lá bài này xuất hiện trong một lượt trải bài. Bạn nên tự hào về những thành quả và đóng góp của mình.
170,34,5,Bạn đã sẵn sàng để bước vào những lĩnh vực mới trên hành trình khám phá tâm linh của mình. Knight of Cups thường hàm ý rằng bạn sẽ sớm nhận được một tin tức tốt từ tinh thần (dù điều này đôi khi đến thông qua người khác) và điều này sẽ mở ra những hướng nhìn nhận mới dành cho bạn. Hãy chú ý những điềutrông có vẻ như xảy ra ngẫu nhiên. đó thường là cách mà tinh thần “mặc khải” với chúng ta.
171,35,1,"Lá bài này hàm ý sự hỗ trợ và tình yêu trong bối cảnh về sức khỏe. Nếu bạn cần chữa bệnh, hãy tìm đến những người phụ nữ hoặc một ai đó có nguồn năng lượng nữ tính mạnh mẽ. Lá bài cũng nói đến nhu cầu yêu thương và hỗ trợ chính bản thân mình, đặc biệt nếu bạn đang đối mặt với những thách thức về sức khỏe. Nếu bạn đang trong giai đoạn chữa trị một loại bệnh lý nào đó, thì lá Queen of Cups có thể là thông điệp cho bạn biết rằng bạn cần tha thứ và trao cho chính mình nhiều tình yêu thương hơn nữa. Cho dù trong hoàn cảnh nào đi nữa thì cơ thể, sức khỏe của bạn chắc chắn sẽ rất tích cực theo nhiều cách. Hãy suy nghĩ tích cực và tìn tưởng vào năng lượng chữa lành của vũ trụ. Lá bàu cũng có thể mang những thông điệp hay tin tức tốt về sức khỏe."
172,35,2,"Queen of Cups thường chỉ những tin tức tốt liên quan đến tài chính. Bất cứ điều gì xảy ra trong cuộc sống tài chính của bạn, thì cũng hãy cho phép bản thân mình nghỉ ngơi, và hãy biết rằng bạn có thể tạo ra một sự khác biệt tích cực nếu bạn có nhu cầu vật chất nhiều hơn trong cuộc sống của mình. Queen of Cups hàm ý khả năng sáng tạo và bạn có thể yêu cầu sự giúp đỡ từ những người khác ngay bây giờ (đặc biệt là từ những người là nữ giới),nhận lấy sự giúp đỡ và nghe những lời khuyên bạn cần để tạo ra một sự khác biệt tích cực về mặt tài chính. Cũng vậy, hãy mong đợi những chuyển biến tích cực."
173,35,3,"Khi Queen of Cups xuất hiện trong một câu hỏi thuộc bối cảnh tình yêu, lá bài thường hàm ý về một viễn cảnh rất tích cực về một mối quan hệ. Nếu bạn đang đơn thân (chưa có người yêu) và lá bài xuất hiện, vậy thì đây là một dấu hiệu tốt khuyến khích bạn đi ra ngoài và kết bạn, bởi vì một mối quan hệ lãng mạn mới rất tích cực đang trong tầm tay của bạn. Khi Queen of Cups xuất hiện, bạn sẽ rất dễ được lôi cuốn vào chuyện yêu đương. Hãy giữ cân bằng và giữ vững quan điểm của bạn. Ngay cả khi bạn hào hứng với tình yêu mới, điều quan trọng là cần phảiđảm bảo sao cho những việc khác vẫn tiếp diễn bình thường trong cuộc sống của bạn."
174,35,4,"Trong bối cảnh công việc, Queen thường chỉ một người phụ nữ sẽ luôn giúp đỡ bạn. Queen nhắc nhở chúng ta vận dụng tình yêu thường và lòng trắc ẩn vào công việc của mình, và có thể ngay cả khi chúng ta làm việc trong một phân xưởng đầy máy móc thay vì con người. Mọi thứ có lẽ tốt hơn bạn nghĩ trong thế giới công việc của bạn khi lá bài tarot này xuất hiện. Hãy giữ suy nghĩ tích cực!"
175,35,5,"Bạn gần như chạm vào được mối liên quan sâu xa bên trong mình ở thời điểm hiện tại. Queen of Cups cũng có thể đánh dấu những tăng trưởng trong trải nghiệm dự đoán tương lai. Hãy cởi mở với dòng năng lượng kỳ diệu của cuộc sống và cảm nhận tình yêu đang tuôn chảy trong mọi thứ xung quanh bạn. Một người phụ nữ có thể là lãnh đạo tinh thần của bạnở hiện tại. Cho dù bản thân bạn là nam hay tính nữ, hãy xem xét những nguyên mẫu và năng lươnjg thuộc tính nữ ngay lúc này. Họ sẽ dẫn dắt bạn tiếp cận những hiểu biết về tinh thần mới mẻ và sâu sắc hơn."
176,36,1,"Với những câu hỏi về sức khỏe, đặc biệt nếu bạn đang được chăm sóc bác sỹ, lá King of Cups này nhắc nhở chúng ta hãy trao trọn niềm tin tưởng vào người chữa bệnh cho mình. King of Cups có thể là dấu chỉ của những tin tức tốt lành, cũng như cho thấy những người thầy thuốc / trị liệu cho bạn là những người đáng tin cậy (đặc biệt nếu người đó là đàn ông). Hãy quan tâm chăm sóc cơ thể mình, luônchú ý đến những gì bạn mang vào cơ thể mình và những người xung quanh khi lá King này xuất hiện."
